Romania,Bucharest,73.5,71.2,69.7,69.1
Bulgaria,Sofia,73.5,71.7,71.6,71.2
Malta,Valletta,81.4,78.2,75.2,72.9
Slovakia,Bratislava,75.1,73.1,70.9,70.4
Hungary,Budapest,74.2,71.2,69.3,69.1
Poland,Warsaw,76.2,73.7,70.9,70.1
Latvia,Riga,73.5,70.3,69.3,68.8
Croatia,Zagreb,76.5,72.8,72.2,70.2
Luxembourg,Luxembourg,80.6,77.9,75,72.1
Netherlands,Amsterdam,80.7,78,76.9,75.7
United Kingdom,London,80.4,77.7,75.9,73.7
Greece,Athens,80.4,77.9,76.9,73.6
Lithuania,Vilnius,73.3,72,71.2,70.5
France,Paris,81.7,79.1,76.6,74.1
Belgium,Brussels,80.2,77.7,76.1,73.2
Denmark,Copenhagen,79.1,76.6,74.8,74.1
Ireland,Dublin,80.7,76.5,74.7,72.5
Germany,Berlin,80,77.9,75.2,72.7
Austria,Vienna,80.6,78.1,75.6,72.5
Italy,Rome,82,79.8,77,73.9
Portugal,Lisbon,79,76.3,74,71.2
Slovenia,Ljubljana,79.4,75.4,73.2,71.1
Spain,Madrid,81.6,79,76.8,75.3
Sweden,Stockholm,81.5,79.6,77.5,75.7
Czech Republic,Prague,77.4,75,71.4,70.3
Estonia,Tallinn,75.4,70.4,69.5,68.9
Finland,Helsinki,79.9,77.5,74.8,73.4
Cyprus,Nicosia,79.4,78,76.5,74.8
Kosovo ,Pristina,69.9,68,67.7,No data
Turkey,Ankara,74.1,70,64.3,58.7
Macedonia,Skopje,74.7,73.2,71.1,68.7
Albania,Tirana,77,74.3,72,70.2
Republic of Serbia,Belgrade,74.3,71.6,No data,No data
Liechtenstein,Vaduz,81.8,76.8,No data,No data
Bosnia and Herzegovina ,Sarajevo,75.8,74.3,70.8,70.2
Montenegro,Podgorica,75,73.2,74.4,72.9
Switzerland,Bern,82.2,79.7,77.2,75.5
Norway,Oslo,81,78.6,76.5,75.7
Iceland,Reykjavik,81.9,79.7,78,76.8
Russia,Moscow,68.9,65.3,68.9,67
Belarus,Minsk,70.4,68.9,70.8,69.8
Ukraine,Kiev,70.3,67.9,70.1,68.8
Moldova,Chisinau,69.7,66.9,67.5,64.8
